age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,weather,traffic,vehicle_condition,order_type,vehicle_type,multiple_deliveries,is_festival,city_category,time,city,day,month,year,day_of_week,is_weekend,order_time_hour,order_time_of_day,pickup_time_minutes,distance,distance_type
37.0,4.9,22.745049,75.892471,22.765049,75.912471,sunny,high,2,snack,motorcycle,0.0,no,urban,24,INDO,19,3,2022,Saturday,1,11,morning,15.0,3.0251492856775037,short
34.0,4.5,12.913041,77.683237,13.043041,77.813237,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,BANG,25,3,2022,Friday,0,19,evening,5.0,20.183529728733618,very_long
23.0,4.4,12.914264,77.6784,12.924264,77.6884,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,BANG,19,3,2022,Saturday,1,8,morning,15.0,1.5527578022548725,short
38.0,4.7,11.003669,76.976494,11.053669,77.026494,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,COIMB,5,4,2022,Tuesday,0,18,evening,10.0,7.790401360105752,medium
32.0,4.6,12.972793,80.249982,13.012793,80.289982,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,CHEN,26,3,2022,Saturday,1,13,afternoon,15.0,6.2101379656240985,medium
22.0,4.8,17.431668,78.408321,17.461668,78.438321,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,HYD,11,3,2022,Friday,0,21,night,10.0,4.610365144357058,short
33.0,4.7,23.369746,85.33982,23.479746,85.44982,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,RANCHI,4,3,2022,Friday,0,19,evening,15.0,16.600361127912656,very_long
35.0,4.6,12.352058,76.60665,12.482058,76.73665,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,MYS,14,3,2022,Monday,0,17,afternoon,5.0,20.20525323529291,very_long
22.0,4.8,17.433809,78.386744,17.563809,78.516744,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,HYD,20,3,2022,Sunday,1,20,evening,10.0,19.975520086221444,very_long
36.0,4.2,30.327968,78.046106,30.397968,78.116106,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,DEH,12,2,2022,Saturday,1,21,night,15.0,10.280582064621875,long
21.0,4.7,10.003064,76.307589,10.043064,76.347589,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,KOC,13,2,2022,Sunday,1,14,afternoon,10.0,6.242318682701243,medium
23.0,4.7,18.56245,73.916619,18.65245,74.006619,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,PUNE,4,3,2022,Friday,0,17,afternoon,10.0,13.787860239172547,long
34.0,4.3,30.899584,75.809346,30.919584,75.829346,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,LUDH,13,2,2022,Sunday,1,9,morning,10.0,2.9302578007621216,short
24.0,4.7,26.463504,80.372929,26.593504,80.502929,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,KNP,14,2,2022,Monday,0,19,evening,15.0,19.39661829066159,very_long
29.0,4.5,19.176269,72.836721,19.266269,72.926721,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,MUM,2,4,2022,Saturday,1,20,evening,10.0,13.763977224427641,long
35.0,4.0,12.311072,76.654878,12.351072,76.694878,windy,high,1,meal,scooter,1.0,no,metropolitian,33,MYS,1,3,2022,Tuesday,0,14,afternoon,15.0,6.21800119018663,medium
33.0,4.2,18.592718,73.773572,18.702718,73.883572,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,PUNE,16,3,2022,Wednesday,0,20,evening,10.0,16.849939918016492,very_long
34.0,4.9,17.426228,78.407495,17.496228,78.477495,cloudy,jam,0,snack,motorcycle,,no,metropolitian,41,HYD,20,3,2022,Sunday,1,20,evening,10.0,10.757108800258132,long
21.0,4.7,22.552672,88.352885,22.582672,88.382885,windy,jam,0,meal,motorcycle,1.0,no,urban,15,KOL,15,2,2022,Tuesday,0,21,night,15.0,4.5405743887312955,short
25.0,4.1,18.563934,73.915367,18.643935,73.995367,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,PUNE,16,3,2022,Wednesday,0,20,evening,5.0,12.256076445468295,long
31.0,4.7,23.357804,85.325146,23.487804,85.455146,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,RANCHI,10,3,2022,Thursday,0,22,night,15.0,19.618739348801018,very_long
37.0,5.0,11.003669,76.976494,11.013669,76.986494,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,COIMB,11,3,2022,Friday,0,8,morning,15.0,1.5581322655568652,short
33.0,4.3,12.986047,80.218114,13.116047,80.348114,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,CHEN,27,3,2022,Sunday,1,19,evening,15.0,20.180635114114718,very_long
25.0,4.0,19.221315,72.862381,19.261315,72.902381,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,34,MUM,26,3,2022,Saturday,1,12,morning,5.0,6.116971669682334,medium
29.0,4.5,13.005801,80.250744,13.115801,80.360744,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,15,CHEN,27,3,2022,Sunday,1,18,evening,15.0,17.07559440107296,very_long
27.0,5.0,26.849596,75.800512,26.879596,75.830512,stormy,jam,0,snack,motorcycle,0.0,no,urban,18,JAP,5,4,2022,Tuesday,0,20,evening,5.0,4.470286489434607,short
35.0,4.3,21.160522,72.771477,21.250522,72.861477,cloudy,low,1,drinks,scooter,0.0,no,metropolitian,38,SUR,12,3,2022,Saturday,1,23,night,10.0,13.68204452608078,long
32.0,4.0,12.934179,77.615797,13.024179,77.705797,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,47,BANG,16,3,2022,Wednesday,0,21,night,15.0,13.973182653917394,long
23.0,4.8,18.51421,73.838429,18.62421,73.948429,windy,low,2,buffet,electric_scooter,0.0,no,urban,12,PUNE,2,4,2022,Saturday,1,23,night,10.0,16.85361872985359,very_long
31.0,4.8,11.022477,76.995667,11.052477,77.025667,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,26,COIMB,1,4,2022,Friday,0,22,night,15.0,4.674172124263269,short
36.0,4.1,21.160437,72.774209,21.210437,72.824209,stormy,low,0,drinks,motorcycle,1.0,no,urban,22,SUR,5,3,2022,Saturday,1,22,night,5.0,7.60161677107109,medium
26.0,4.3,15.51315,73.78346,15.56315,73.83346,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,21,GOA,11,2,2022,Friday,0,23,night,10.0,7.720324413179964,medium
